tabla,tiempo_respuesta,query_text,top_k,fecha
spotify_3k,56.7,love,5,2025-07-15T01:09:50
spotify_3k,27.17,love,5,2025-07-15T01:09:50
spotify_3k,24.94,love,5,2025-07-15T01:10:27
spotify_3k,26.36,love,5,2025-07-15T01:10:27
spotify_3k,32.24,love,5,2025-07-15T01:10:40
spotify_3k,184.66,love,5,2025-07-15T01:10:40
spotify_3k,24.69,love,5,2025-07-15T01:10:56
spotify_3k,25.77,love,5,2025-07-15T01:10:56
spotify_3k,105.72,war,5,2025-07-15T01:11:11
spotify_3k,17.52,war,5,2025-07-15T01:11:11
spotify_3k,30.71,again,5,2025-07-15T01:11:24
spotify_3k,168.62,again,5,2025-07-15T01:11:25
spotify_3k,31.9,heart,5,2025-07-15T01:12:01
spotify_3k,24.04,heart,5,2025-07-15T01:12:01
spotify_3k,27.49,love,8,2025-07-15T01:12:54
spotify_3k,20.58,love,8,2025-07-15T01:12:54
spotify_3k,20.54,kiss,8,2025-07-15T01:13:13
spotify_3k,20.15,kiss,8,2025-07-15T01:13:13
spotify_3k,298.56,love,3,2025-07-15T01:20:29
spotify_3k,27.44,love,3,2025-07-15T01:20:29
spotify_3k,23.44,love,3,2025-07-15T01:21:23
spotify_3k,25.67,love,3,2025-07-15T01:21:23
spotify_3k,26.74,love,3,2025-07-15T01:21:53
spotify_3k,29.7,love,3,2025-07-15T01:21:53
spotify_3k,35.21,love,8,2025-07-15T01:22:01
spotify_3k,23.13,love,8,2025-07-15T01:22:01
Audio,3976.89,love,8,2025-07-15T01:22:38
Audio,3051.49,love,8,2025-07-15T01:22:41
Audio,3170.85,war,8,2025-07-15T01:23:17
Audio,2757.43,war,8,2025-07-15T01:23:20
Audio,13897.9,heaven,8,2025-07-15T01:24:21
Audio,3459.97,heaven,8,2025-07-15T01:24:24
Audio,3363.34,heaven,8,2025-07-15T01:25:04
Audio,2854.42,heaven,8,2025-07-15T01:25:07
Audio,29138.11,love,5,2025-07-15T21:06:45
Audio,9095.35,love,5,2025-07-15T21:06:54
top_10k_songs,567.83,today,5,2025-07-15T22:33:25
top_10k_songs,193.6,today,5,2025-07-15T22:33:25
spotify_32k_songs,3315.22,love,5,2025-07-15T22:36:49
spotify_32k_songs,777.63,love,5,2025-07-15T22:36:50
spotify_32k_songs,1247.73,love,5,2025-07-15T22:37:20
spotify_32k_songs,472.15,love,5,2025-07-15T22:37:21
spotify_32k_songs,371.08,heart,8,2025-07-15T22:37:50
spotify_32k_songs,339.79,heart,8,2025-07-15T22:37:50
spotify_32k_songs,320.83,heart,8,2025-07-15T22:37:55
spotify_32k_songs,310.83,heart,8,2025-07-15T22:37:56
top_10k_songs,175.73,today,8,2025-07-15T22:38:27
top_10k_songs,233.89,today,8,2025-07-15T22:38:27
spotify_32k_songs,413.23,today,8,2025-07-15T22:39:29
spotify_32k_songs,351.48,today,8,2025-07-15T22:39:29
spotify_32k_songs,1038.56,know,8,2025-07-15T22:40:09
spotify_32k_songs,571.2,know,8,2025-07-15T22:40:10
spotify_32k_songs,3119.64,2,8,2025-07-15T22:41:17
spotify_32k_songs,716.85,2,8,2025-07-15T22:41:18
spotify_32k_songs,444.73,lovespeak,8,2025-07-15T22:41:37
spotify_32k_songs,322.4,lovespeak,8,2025-07-15T22:41:37
spotify_32k,7446.98,love,8,2025-07-15T22:50:03
spotify_32k,877.09,love,8,2025-07-15T22:50:04
spotify_65k,11577.01,love,8,2025-07-15T22:58:55
spotify_65k,1314.22,love,8,2025-07-15T22:58:57
Audio,10752.79,love,5,2025-07-15T23:05:38
Audio,3219.62,love,5,2025-07-15T23:05:41
Audio,15408.14,love,5,2025-07-15T23:07:49
Audio,4920.44,love,5,2025-07-15T23:07:54
Audio,33183.77,love,5,2025-07-17T15:27:24
Audio,13182.23,love,5,2025-07-17T15:27:38
Audio,34512.61,love,5,2025-07-17T15:39:38
Audio,31126.55,love,5,2025-07-17T15:40:10
spotify_3k,85.6,kiss,8,2025-07-17T15:45:13
spotify_3k,60.07,kiss,8,2025-07-17T15:45:13
top_10k_songs,1521.81,love,8,2025-07-17T15:47:23
top_10k_songs,564.12,love,8,2025-07-17T15:47:23
top_10k_songs,1719.1,love,8,2025-07-17T15:48:23
top_10k_songs,618.82,love,8,2025-07-17T15:48:24
spotify_32k,12415.44,love,8,2025-07-17T15:48:45
spotify_32k,341.03,love,8,2025-07-17T15:48:46
spotify_32k,6297.24,love,5,2025-07-17T15:49:05
spotify_32k,393.6,love,5,2025-07-17T15:49:06
spotify_32k,2757.01,love,5,2025-07-17T15:49:42
spotify_32k,268.79,love,5,2025-07-17T15:49:42
spotify_32k,2976.87,love,8,2025-07-17T15:52:08
spotify_32k,808.88,love,8,2025-07-17T15:52:09
spotify_32k,2308.34,love,8,2025-07-17T16:12:43
spotify_32k,475.96,love,8,2025-07-17T16:12:44
